,within 12 months,,,,,,12-36 months after,,,,,
,<2km off path,4-8km  off path,>16km  off path,<2km  on path,4-8km on path,>16km on path,<2km off path,4-8km  off path,>16km  off path,<2km  on path,4-8km on path,>16km on path
b,-0.0112663,-0.0337989,-0.0563315,-0.0170046,-0.0510138,-0.085023,-0.0106329,-0.0318987,-0.0531645,-0.0249101,-0.0747303,-0.1245505
low,-0.0181245,-0.0543735,-0.0906225,-0.024829,-0.074487,-0.124145,-0.0168729,-0.0506187,-0.0843645,-0.0308538,-0.0925614,-0.154269
high,-0.004408,-0.013224,-0.02204,-0.0091802,-0.0275406,-0.045901,-0.0043928,-0.0131784,-0.021964,-0.0189664,-0.0568992,-0.094832
