,up to 24 months before,,,,,,within 12 months,,,,,,12-36 months after,,
,<2,2-4,4-8,8-16,>16,<2,2-4,4-8,8-16,>16,<2,2-4,4-8,8-16,>16
b,0.0067025,0.013405,0.0201075,0.02681,0.0335125,-0.0201171,-0.0402342,-0.0603513,-0.0804684,-0.1005855,-0.0199079,-0.0398158,-0.0597237,-0.0796316,-0.0995395
low,-0.0037151,-0.0074302,-0.0111453,-0.0148604,-0.0185755,-0.0279504,-0.0559008,-0.0838512,-0.1118016,-0.139752,-0.0316302,-0.0632604,-0.0948906,-0.1265208,-0.158151
high,0.0171202,0.0342404,0.0513606,0.0684808,0.085601,-0.0122838,-0.0245676,-0.0368514,-0.0491352,-0.061419,-0.0081857,-0.0163714,-0.0245571,-0.0327428,-0.0409285
